Date,"Korea, South",Germany,United Kingdom,US,France,China
2020-01-22,0.5461370216827126,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.5851468089457634,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.7021761707349161,0.0,0.0,0.0,0.0,0.0
2020-01-25,0.7606908516294925,0.0,0.0,0.0,0.0,0.0
2020-01-26,0.9557397879447469,0.0,0.0,0.0,0.0,0.0
2020-01-27,1.1312838306284758,0.0,0.0,0.0,0.0,0.0
2020-01-28,1.96999425678407,0.0,0.0,0.0,0.0,0.0
2020-01-29,2.3405872357830537,0.0,0.0,0.0,0.0,0.0
2020-01-30,2.633160640255935,0.0,0.0,0.0,0.0,0.0
2020-01-31,4.174047237146445,0.0,0.0,0.0,0.0,0.0
2020-02-01,5.363845748669498,0.0,0.0,0.0,0.0,0.0
2020-02-02,9.030765751396283,0.0,0.0,0.0,0.0,0.0
2020-02-03,11.976004689756625,0.0,0.0,0.0,0.0,0.0
2020-02-04,16.44262533137595,0.0,0.0,0.0,0.0,0.0
2020-02-05,21.747956399150876,0.0,0.0,0.0,0.0,0.0
2020-02-06,28.808727893763084,0.0,0.0,0.0,0.0,0.0
2020-02-07,38.99028236941937,0.0,0.0,0.0030211238398812706,0.0,0.0
2020-02-08,50.63470386744007,0.0,0.0,0.0030211238398812706,0.0,0.0
2020-02-09,62.78625259988041,0.0,0.0,0.009063371519643811,0.045960450940045194,0.0
2020-02-10,76.4201732483167,0.0,0.0,0.009063371519643811,0.045960450940045194,0.0
2020-02-11,90.42468687575197,0.0,0.0,0.009063371519643811,0.045960450940045194,0.0
2020-02-12,99.12386943541233,0.023870922664393137,0.0,0.021147866879168892,0.045960450940045194,0.0006947707087692825
2020-02-13,121.2619237071937,0.023870922664393137,0.014730575346369961,0.021147866879168892,0.045960450940045194,0.0006947707087692825
2020-02-14,155.5905364986785,0.023870922664393137,0.014730575346369961,0.021147866879168892,0.045960450940045194,0.0006947707087692825
2020-02-15,181.35650098592362,0.047741845328786274,0.014730575346369961,0.027190114558931434,0.045960450940045194,0.0006947707087692825
2020-02-16,209.7751310070562,0.047741845328786274,0.014730575346369961,0.027190114558931434,0.045960450940045194,0.00555816567015426
2020-02-17,243.06998443607011,0.047741845328786274,0.014730575346369961,0.030211238398812706,0.045960450940045194,0.00555816567015426
2020-02-18,277.0865189294505,0.047741845328786274,0.17676690415643953,0.036253486078575245,0.045960450940045194,0.00555816567015426
2020-02-19,311.3371121464092,0.047741845328786274,0.17676690415643953,0.036253486078575245,0.045960450940045194,0.00555816567015426
2020-02-20,351.36115387829943,0.047741845328786274,0.17676690415643953,0.04833798143810033,0.045960450940045194,0.00555816567015426
2020-02-21,364.819530484052,0.047741845328786274,0.20622805484917947,0.04833798143810033,0.07660075156674198,0.00555816567015426
2020-02-22,442.74158054199614,0.047741845328786274,0.20622805484917947,0.04833798143810033,0.07660075156674198,0.00555816567015426
2020-02-23,452.25996863418055,0.047741845328786274,0.20622805484917947,0.05438022911786287,0.07660075156674198,0.00555816567015426
