Date,"Korea, South",Germany,United Kingdom,US,France
2020-01-22,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.014730575346369961,0.0,0.0
2020-02-08,0.0,0.0,0.014730575346369961,0.0,0.0
2020-02-09,0.0,0.0,0.04419172603910988,0.009063371519643811,0.0
2020-02-10,0.0,0.0,0.04419172603910988,0.009063371519643811,0.0
2020-02-11,0.0,0.0,0.04419172603910988,0.009063371519643811,0.0
2020-02-12,0.0390097872630509,0.0,0.10311402742458974,0.009063371519643811,0.015320150313348397
2020-02-13,0.0390097872630509,0.011935461332196569,0.10311402742458974,0.009063371519643811,0.015320150313348397
2020-02-14,0.0390097872630509,0.011935461332196569,0.10311402742458974,0.009063371519643811,0.015320150313348397
2020-02-15,0.0780195745261018,0.011935461332196569,0.13257517811732963,0.009063371519643811,0.015320150313348397
2020-02-16,0.0780195745261018,0.011935461332196569,0.13257517811732963,0.009063371519643811,0.12256120250678718
2020-02-17,0.0780195745261018,0.011935461332196569,0.14730575346369962,0.009063371519643811,0.12256120250678718
2020-02-18,0.0780195745261018,0.14322553598635882,0.17676690415643953,0.009063371519643811,0.12256120250678718
2020-02-19,0.0780195745261018,0.14322553598635882,0.17676690415643953,0.009063371519643811,0.12256120250678718
2020-02-20,0.0780195745261018,0.14322553598635882,0.23568920554191938,0.009063371519643811,0.12256120250678718
2020-02-21,0.0780195745261018,0.16709645865075196,0.23568920554191938,0.015105619199406353,0.12256120250678718
2020-02-22,0.0780195745261018,0.16709645865075196,0.23568920554191938,0.015105619199406353,0.12256120250678718
2020-02-23,0.0780195745261018,0.16709645865075196,0.26515035623465927,0.015105619199406353,0.12256120250678718
2020-02-24,0.0780195745261018,0.16709645865075196,0.26515035623465927,0.015105619199406353,0.12256120250678718
2020-02-25,0.2145538299467799,0.16709645865075196,0.32407265762013915,0.018126743039287622,0.12256120250678718
2020-02-26,0.2145538299467799,0.1790319199829485,0.32407265762013915,0.018126743039287622,0.12256120250678718
2020-02-27,0.2145538299467799,0.1909673813151451,0.32407265762013915,0.018126743039287622,0.12256120250678718
2020-02-28,0.2145538299467799,0.1909673813151451,0.32407265762013915,0.021147866879168892,0.12256120250678718
2020-02-29,0.23405872357830537,0.1909673813151451,0.39772553435198893,0.021147866879168892,0.12256120250678718
2020-03-01,0.23405872357830537,0.1909673813151451,0.4419172603910988,0.021147866879168892,0.12256120250678718
2020-03-02,0.23405872357830537,0.1909673813151451,0.4419172603910988,0.021147866879168892,0.12256120250678718
2020-03-03,0.23405872357830537,0.1909673813151451,0.4419172603910988,0.021147866879168892,0.12256120250678718
2020-03-04,0.23405872357830537,0.1909673813151451,0.6039535892011684,0.021147866879168892,0.12256120250678718
2020-03-05,0.23405872357830537,0.1909673813151451,0.6039535892011684,0.021147866879168892,0.12256120250678718
2020-03-06,0.23405872357830537,0.20290284264734165,1.988627671759945,0.021147866879168892,0.12256120250678718
2020-03-07,0.23405872357830537,0.21483830397953824,1.988627671759945,0.021147866879168892,0.27576270564027117
2020-03-08,0.23405872357830537,0.21483830397953824,1.7382078908716556,0.021147866879168892,0.27576270564027117
2020-03-09,0.23405872357830537,0.21483830397953824,1.7382078908716556,0.021147866879168892,0.27576270564027117
2020-03-10,0.23405872357830537,0.21483830397953824,3.6384521105533802,0.024168990719050164,0.2910828559536195
2020-03-11,0.23405872357830537,0.2983865333049142,4.242405699754548,0.024168990719050164,0.2910828559536195
2020-03-12,0.23405872357830537,0.2983865333049142,4.905281590341198,0.036253486078575245,0.2910828559536195
2020-03-13,0.23405872357830537,0.5490312212810422,7.51259342664868,0.036253486078575245,0.2910828559536195
2020-03-14,0.23405872357830537,0.5490312212810422,7.51259342664868,0.036253486078575245,0.2910828559536195
2020-03-15,0.23405872357830537,0.5490312212810422,7.51259342664868,0.036253486078575245,0.2910828559536195
2020-03-16,0.23405872357830537,0.7996759092571701,16.748664168822646,0.0513591052779816,0.3217231565803163
2020-03-17,0.23405872357830537,0.7996759092571701,20.725919512342536,0.0513591052779816,0.811967966607465
2020-03-18,0.23405872357830537,1.2532234398806397,22.68508603340974,0.3172180031875334,1.0264500709943425
2020-03-19,0.23405872357830537,1.3487071305382123,22.68508603340974,0.3655559846256337,1.0264500709943425
2020-03-20,0.23405872357830537,2.148383039795382,22.68508603340974,0.44410520446254675,1.0264500709943425
2020-03-21,0.23405872357830537,2.7809624904018007,22.68508603340974,0.5317177958191036,1.0264500709943425
2020-03-22,43.02779535114514,3.174832714364287,42.85124368259022,0.5377600434988662,1.0264500709943425
2020-03-23,43.02779535114514,3.174832714364287,42.85124368259022,0.5377600434988662,1.0264500709943425
2020-03-24,63.390904302457706,38.706701100313474,51.66012773971946,1.051351096278682,2.1448210438687756
