Date,France,Germany,"Korea, South",US,United Kingdom
2020-01-22,0.0,0.0,0.0019504893631525448,0.00030211238398812705,0.0
2020-01-23,0.0,0.0,0.0019504893631525448,0.00030211238398812705,0.0
2020-01-24,0.0030640300626696795,0.0,0.0039009787263050897,0.0006042247679762541,0.0
2020-01-25,0.0045960450940045194,0.0,0.0039009787263050897,0.0006042247679762541,0.0
2020-01-26,0.0045960450940045194,0.0,0.005851468089457634,0.0015105619199406353,0.0
2020-01-27,0.0045960450940045194,0.0011935461332196569,0.007801957452610179,0.0015105619199406353,0.0
2020-01-28,0.006128060125339359,0.004774184532878627,0.007801957452610179,0.0015105619199406353,0.0
2020-01-29,0.0076600751566741985,0.004774184532878627,0.007801957452610179,0.0015105619199406353,0.0
2020-01-30,0.0076600751566741985,0.004774184532878627,0.007801957452610179,0.0015105619199406353,0.0
2020-01-31,0.0076600751566741985,0.005967730666098284,0.02145538299467799,0.0021147866879168893,0.0029461150692739924
2020-02-01,0.009192090188009039,0.009548369065757255,0.023405872357830537,0.0024168990719050164,0.0029461150692739924
2020-02-02,0.009192090188009039,0.011935461332196569,0.02925734044728817,0.0024168990719050164,0.0029461150692739924
2020-02-03,0.009192090188009039,0.014322553598635882,0.02925734044728817,0.0033232362238693977,0.0029461150692739924
2020-02-04,0.009192090188009039,0.014322553598635882,0.031207829810440717,0.0033232362238693977,0.0029461150692739924
2020-02-05,0.009192090188009039,0.014322553598635882,0.03705929789989835,0.0033232362238693977,0.0029461150692739924
2020-02-06,0.009192090188009039,0.014322553598635882,0.04486125535250853,0.0033232362238693977,0.0029461150692739924
2020-02-07,0.009192090188009039,0.01551609973185554,0.04876223407881362,0.0033232362238693977,0.004419172603910988
2020-02-08,0.016852165344683236,0.01551609973185554,0.04876223407881362,0.0033232362238693977,0.004419172603910988
2020-02-09,0.016852165344683236,0.016709645865075194,0.05461370216827126,0.0042295733758337785,0.004419172603910988
2020-02-10,0.016852165344683236,0.016709645865075194,0.05851468089457634,0.0042295733758337785,0.01178446027709597
2020-02-11,0.016852165344683236,0.01909673813151451,0.060465170257728885,0.004531685759821906,0.01178446027709597
2020-02-12,0.019916195407352913,0.01909673813151451,0.06826712771033906,0.004531685759821906,0.014730575346369963
2020-02-13,0.019916195407352913,0.020290284264734167,0.06826712771033906,0.004833798143810033,0.014730575346369963
2020-02-14,0.019916195407352913,0.020290284264734167,0.06826712771033906,0.004833798143810033,0.014730575346369963
2020-02-15,0.02604425553269227,0.020290284264734167,0.07216810643664415,0.004833798143810033,0.014730575346369963
2020-02-16,0.02604425553269227,0.020290284264734167,0.0741185957997967,0.004833798143810033,0.025041978088828937
2020-02-17,0.02604425553269227,0.020290284264734167,0.0780195745261018,0.004833798143810033,0.025041978088828937
2020-02-18,0.02604425553269227,0.03341929173015039,0.08387104261555943,0.004833798143810033,0.025041978088828937
2020-02-19,0.02604425553269227,0.03341929173015039,0.08387104261555943,0.004833798143810033,0.025041978088828937
2020-02-20,0.02604425553269227,0.03341929173015039,0.23600921294145794,0.004833798143810033,0.025041978088828937
2020-02-21,0.02604425553269227,0.035806383996589704,0.43300863861986494,0.006042247679762541,0.025041978088828937
2020-02-22,0.02604425553269227,0.035806383996589704,0.8796707027817977,0.006042247679762541,0.025041978088828937
2020-02-23,0.02604425553269227,0.035806383996589704,1.221006341333493,0.006042247679762541,0.025041978088828937
2020-02-24,0.02604425553269227,0.035806383996589704,1.675470362948036,0.006042247679762541,0.030934208227376917
2020-02-25,0.039832390814705826,0.036999930129809365,1.9680437674209177,0.006344360063750668,0.030934208227376917
2020-02-26,0.04749246597138003,0.05012893759522559,2.5258837252825455,0.006344360063750668,0.030934208227376917
2020-02-27,0.07813276659807683,0.07399986025961873,3.5128313430377327,0.006646472447738795,0.033880323296650916
2020-02-28,0.10724105219343877,0.07638695252605804,4.626560769397837,0.006948584831726922,0.041245610969835894
2020-02-29,0.1746497135721717,0.1133868826558674,6.227912536546075,0.009667596287620065,0.04566478357374688
2020-03-01,0.2206101645122169,0.1742577354500699,7.378701260806078,0.011480270591548826,0.06481453152402783
2020-03-02,0.31559509645497696,0.20887057331343994,8.56849977232913,0.019939417343216383,0.0707067616625758
2020-03-03,0.33704330689366474,0.25303178024256723,10.228366220371944,0.026283777406967055,0.08691039454358278
2020-03-04,0.46573256952579123,0.33180582503506456,11.111937901880047,0.0368577108465515,0.13846740825587764
2020-03-05,0.6097419824712661,0.5943859743433891,12.022816434472286,0.058307690109708515,0.1826591342949875
2020-03-06,1.0371741762136863,0.8199661935219043,13.204812988542729,0.07341330930911487,0.2548389534922003
2020-03-07,1.5044387607708125,0.9751271908404596,14.082533201961374,0.10906257061971385,0.3343840603625981
2020-03-08,1.787861541567758,1.2627718089463968,14.59356141510734,0.14471183193031284,0.43307891518327685
2020-03-09,1.9150187891685495,1.4274811753307095,14.919293138753813,0.16555758642549362,0.5052587343804896
2020-03-10,2.81737564262477,1.7628676387654332,15.241123883673986,0.2256779508391309,0.6039535892011685
2020-03-11,3.6048313687308777,2.310705313913256,15.80481530962507,0.34712712920235794,0.7144329042989431
2020-03-12,3.6048313687308777,2.513608156560597,16.12664605454524,0.4882136125248133,0.7173790193682171
2020-03-13,5.778760698195015,4.449539984642881,16.686436501770018,0.6709916048376302,1.2241108112833436
2020-03-14,7.045737129108927,5.538054058139208,16.90684179980626,0.8885125213090815,1.7544115237526623
2020-03-15,7.100889670236982,6.984631971601432,17.060930459495307,0.9220469959317636,1.777980444306854
